REPORTE DE MATRIZ DE CONFUSIÓN DE CLASIFICACIÓN (TESIS UCV 2026)
================================================================================

Total Muestras Evaludadas en Test: 4746
Total Clases Evaluadas: 82

                                                                                         Alternador defectuoso o faja suelta  Alternador defectuoso o placa de diodos quemada  Amortiguadores reventados o bujes de muelles gastados  Amortiguadores reventados o bujes de suspension gastados  Averia detectada en sistema P0  Averia detectada en sistema P2  Averia detectada en sistema P3  Averia detectada en sistema U0  Averia en modulo P0  Averia en modulo P2  Averia en modulo P3  Averia en modulo U0  Bateria de alto voltaje (HV) con celda sulfatada (Prius / EV)  Bateria descargada o arrancador defectuoso  Bomba de aceite defectuosa o baja presion de lubricacion  Bomba de gasolina / combustible quemada o sin presion  Bombin o cable de embrague desajustado  Bujias desgastadas o bobina de encendido defectuosa  Bujias desgastadas o gasolina de bajo octanaje (preignicion)  Caja automatica CVT o DSG con sobrecalentamiento / solenoide trancado  Caja o cremallera de direccion asistida con fuga  Compresor de aire acondicionado (A/C) trabado o fuga de gas R134a  Consumo de aceite por anillos de piston gastados  Cremallera de direccion asistida (EPS o Hidraulica) con juego o fuga  Daño o desalineacion en la chapa / mecanismo de seguro de la puerta  Degradacion o falla en paquete de bateria de alto voltaje (EV / Híbridos)  Disco de embrague (clutch) desgastado o patinando  Disco de embrague (clutch) gastado o patinando  Discos de freno deformados o alabeados  Discos de freno rectificados en exceso o alabeados  El motor esta consumiendo aceite (anillos de piston gastados)  Elevador de vidrio / alzacristales quemado o guaya rota  Elevalunas / levanta vidrios electrico defectuoso  Empaque de culata soplado  Faja de distribucion / tiempo destensada o rota  Falla de control electronico Ma  Falla de control electronico P0  Falla de correa dentada bañada en aceite (Motor Ford 1.0 3-Cilindros Dragon / GM Turbo)  Falla de cuerpo de aceleracion electronico TAC (Drive-by-Wire)  Falla de descarbonizacion e inyeccion directa GDI (Acumulacion de carbon en valvulas)  Falla de sensores del sistema del vehiculo  Falla en actuador de turbocompresor o VGT en motores alemanes TSI / TFSI  Falla en caja robotizada Dualogic / I-Motion / Easytronic (Fiat / VW LATAM)  Falla en el rele o motor del ventilador del radiador  Falla en el turbocompresor o intercooler (Camiones Diésel)  Falla en filtro de particulas DPF / FAP y sistema AdBlue DEF (Diésel Euro 5/6)  Falla en modulo de bomba de gasolina FSCM / PEM (Ford / Chevrolet USA)  Falla en sistema Flex / Bi-combustible (Alcohol/Etanol en autos brasilenosis)  Falla en sistema de frenado regenerativo (EV / Híbridos)  Falla en sistema de sincronizacion variable de valvulas (VVT / VVT-i / Valvetronic)  Fallo en el servo freno (booster)  Fallo en inversor de corriente o motor electrico (EV)  Falta o degradacion de aceite de caja de cambios  Filtro de combustible o inyectores sucios  Filtro de combustible obstruido o inyectores sucios  Foco o falla en sistema de refrigeracion de bateria/inversor (EV)  Fuga de liquido de frenos o aire en cañerias  Fuga de liquido de frenos o aire en el sistema  Fuga en mangueras de refrigerante o radiador picado  Fuga o baja presion en sistema Common Rail Diésel (Camiones/Pickups)  Fugas de aire o fallos en el sistema de frenos neumático (Camiones)  Inversor IGBT o bomba de agua de inversor inoperativa  Junta homocinetica / palier con tripoide destruido  Juntas homocineticas (palieres) dañadas  Limpiaparabrisas / motor pluma quemado  Llantas desalineadas, desbalanceadas o deformadas  Mecanismo de chapa / cerradura de puerta desalineada o trabada  Mezcla rica (demasiado combustible / falla de sensor de oxigeno)  Motor de arrancador / solenoide pegado  Pastillas de freno desgastadas  Pastillas o zapatas de freno totalmente desgastadas  Rodajes de caja mecanica o diferencial gastados  Sensor de oxigeno defectuoso  Sensor de oxigeno defectuoso o bujias en mal estado  Sensor de velocidad ABS de rueda sucio o dañado  Soplo de empaque de culata  Soplo de empaque de culata (ingreso de refrigerante al motor)  Soportes de motor rotos o inyectores sucios  Turbocompresor picado o fuga en el Intercooler (Diésel)  Valvula IAC sucia u obstruida (control de minimo)  Valvula IAC sucia u obstruida (minimo)  Válvula de freno de aire o secador APS obstruido (Camiones)
Llantas desalineadas, desbalanceadas o deformadas                                                                          0                                                0                                                      0                                                         0                               0                               0                               0                               0                    0                    0                    0                    0                                                              0                                           0                                                         0                                                      0                                       0                                                    0                                                             0                                                                      0                                                 0                                                                  0                                                 0                                                                     0                                                                    0                                                                          0                                                  0                                               0                                       0                                                   0                                                              0                                                        0                                                  0                          0                                                0                                0                                0                                                                                        0                                                               0                                                                                      0                                           0                                                                         0                                                                            0                                                     0                                                           0                                                                               0                                                                       0                                                                              0                                                         0                                                                                    0                                  0                                                      0                                                 0                                          0                                                    0                                                                  0                                             0                                               0                                                    0                                                                     0                                                                    0                                                      0                                                   0                                        0                                       0                                                 25                                                               0                                                                 0                                       0                               0                                                    0                                                0                             0                                                    0                                                0                           0                                                              0                                            0                                                        0                                                  0                                       0                                                            0
Mecanismo de chapa / cerradura de puerta desalineada o trabada                                                             0                                                0                                                      0                                                         0                               0                               0                               0                               0                    0                    0                    0                    0                                                              0                                           0                                                         0                                                      0                                       0                                                    0                                                             0                                                                      0                                                 0                                                                  0                                                 0                                                                     0                                                                    0                                                                          0                                                  0                                               0                                       0                                                   0                                                              0                                                        0                                                  0                          0                                                0                                0                                0                                                                                        0                                                               0                                                                                      0                                           0                                                                         0                                                                            0                                                     0                                                           0                                                                               0                                                                       0                                                                              0                                                         0                                                                                    0                                  0                                                      0                                                 0                                          0                                                    0                                                                  0                                             0                                               0                                                    0                                                                     0                                                                    0                                                      0                                                   0                                        0                                       0                                                  0                                                               7                                                                 0                                       0                               0                                                    0                                                0                             0                                                    0                                                0                           0                                                              0                                            0                                                        0                                                  0                                       0                                                            0
Mezcla rica (demasiado combustible / falla de sensor de oxigeno)                                                           0                                                0                                                      0                                                         0                               0                               0                               0                               0                    0                    0                    0                    0                                                              0                                           0                                                         0                                                      0                                       0                                                    0                                                             0                                                                      0                                                 0                                                                  0                                                 0                                                                     0                                                                    0                                                                          0                                                  0                                               0                                       0                                                   0                                                              0                                                        0                                                  0                          0                                                0                                0                                0                                                                                        0                                                               0                                                                                      0                                           0                                                                         0                                                                            0                                                     0                                                           0                                                                               0                                                                       0                                                                              0                                                         0                                                                                    0                                  0                                                      0                                                 0                                          0                                                    0                                                                  0                                             0                                               0                                                    0                                                                     0                                                                    0                                                      0                                                   0                                        0                                       0                                                  0                                                               0                                                                 5                                       0                               0                                                    0                                                0                             0                                                    0                                                0                           0                                                              0                                            0                                                        0                                                  0                                       0                                                            0
Motor de arrancador / solenoide pegado                                                                                     0                                                0                                                      0                                                         0                               0                               0                               0                               0                    0                    0                    0                    0                                                              0                                           0                                                         0                                                      0                                       0                                                    0                                                             0                                                                      0                                                 0                                                                  0                                                 0                                                                     0                                                                    0                                                                          0                                                  0                                               0                                       0                                                   0                                                              0                                                        0                                                  0                          0                                                0                                0                                0                                                                                        0                                                               0                                                                                      0                                           0                                                                         0                                                                            0                                                     0                                                           0                                                                               0                                                                       0                                                                              0                                                         0                                                                                    0                                  0                                                      0                                                 0                                          0                                                    0                                                                  0                                             0                                               0                                                    0                                                                     0                                                                    0                                                      0                                                   0                                        0                                       0                                                  0                                                               0                                                                 0                                       7                               0                                                    0                                                0                             0                                                    0                                                0                           0                                                              0                                            0                                                        0                                                  0                                       0                                                            0
Pastillas de freno desgastadas                                                                                             0                                                0                                                      0                                                         0                               0                               0                               0                               0                    0                    0                    0                    0                                                              0                                           0                                                         0                                                      0                                       0                                                    0                                                             0                                                                      0                                                 0                                                                  0                                                 0                                                                     0                                                                    0                                                                          0                                                  0                                               0                                       0                                                   0                                                              0                                                        0                                                  0                          0                                                0                                0                                0                                                                                        0                                                               0                                                                                      0                                           0                                                                         0                                                                            0                                                     0                                                           0                                                                               0                                                                       0                                                                              0                                                         0                                                                                    0                                  0                                                      0                                                 0                                          0                                                    0                                                                  0                                             0                                               0                                                    0                                                                     0                                                                    0                                                      0                                                   0                                        0                                       0                                                  0                                                               0                                                                 0                                       0                              25                                                    0                                                0                             0                                                    0                                                0                           0                                                              0                                            0                                                        0                                                  0                                       0                                                            0
Pastillas o zapatas de freno totalmente desgastadas                                                                        0                                                0                                                      0                                                         0                               0                               0                               0                               0                    0                    0                    0                    0                                                              0                                           0                                                         0                                                      0                                       0                                                    0                                                             0                                                                      0                                                 0                                                                  0                                                 0                                                                     0                                                                    0                                                                          0                                                  0                                               0                                       0                                                   0                                                              0                                                        0                                                  0                          0                                                0                                0                                0                                                                                        0                                                               0                                                                                      0                                           0                                                                         0                                                                            0                                                     0                                                           0                                                                               0                                                                       0                                                                              0                                                         0                                                                                    0                                  0                                                      0                                                 0                                          0                                                    0                                                                  0                                             0                                               0                                                    0                                                                     0                                                                    0                                                      0                                                   0                                        0                                       0                                                  0                                                               0                                                                 0                                       0                               0                                                    7                                                0                             0                                                    0                                                0                           0                                                              0                                            0                                                        0                                                  0                                       0                                                            0
Rodajes de caja mecanica o diferencial gastados                                                                            0                                                0                                                      0                                                         0                               0                               0                               0                               0                    0                    0                    0                    0                                                              0                                           0                                                         0                                                      0                                       0                                                    0                                                             0                                                                      0                                                 0                                                                  0                                                 0                                                                     0                                                                    0                                                                          0                                                  0                                               0                                       0                                                   0                                                              0                                                        0                                                  0                          0                                                0                                0                                0                                                                                        0                                                               0                                                                                      0                                           0                                                                         0                                                                            0                                                     0                                                           0                                                                               0                                                                       0                                                                              0                                                         0                                                                                    0                                  0                                                      0                                                 0                                          0                                                    0                                                                  0                                             0                                               0                                                    0                                                                     0                                                                    0                                                      0                                                   0                                        0                                       0                                                  0                                                               0                                                                 0                                       0                               0                                                    0                                                7                             0                                                    0                                                0                           0                                                              0                                            0                                                        0                                                  0                                       0                                                            0
Sensor de oxigeno defectuoso                                                                                               0                                                0                                                      0                                                         0                               0                               0                               0                               0                    0                    0                    0                    0                                                              0                                           0                                                         0                                                      0                                       0                                                    0                                                             0                                                                      0                                                 0                                                                  0                                                 0                                                                     0                                                                    0                                                                          0                                                  0                                               0                                       0                                                   0                                                              0                                                        0                                                  0                          0                                                0                                0                                0                                                                                        0                                                               0                                                                                      0                                           0                                                                         0                                                                            0                                                     0                                                           0                                                                               0                                                                       0                                                                              0                                                         0                                                                                    0                                  0                                                      0                                                 0                                          0                                                    0                                                                  0                                             0                                               0                                                    0                                                                     0                                                                    0                                                      0                                                   0                                        0                                       0                                                  0                                                               0                                                                 0                                       0                               0                                                    0                                                0                            14                                                    0                                                0                           0                                                              0                                            0                                                        0                                                  0                                       0                                                            0
Sensor de oxigeno defectuoso o bujias en mal estado                                                                        0                                                0                                                      0                                                         0                               0                               0                               0                               0                    0                    0                    0                    0                                                              0                                           0                                                         0                                                      0                                       0                                                    0                                                             0                                                                      0                                                 0                                                                  0                                                 0                                                                     0                                                                    0                                                                          0                                                  0                                               0                                       0                                                   0                                                              0                                                        0                                                  0                          0                                                0                                0                                0                                                                                        0                                                               0                                                                                      0                                           0                                                                         0                                                                            0                                                     0                                                           0                                                                               0                                                                       0                                                                              0                                                         0                                                                                    0                                  0                                                      0                                                 0                                          0                                                    0                                                                  0                                             0                                               0                                                    0                                                                     0                                                                    0                                                      0                                                   0                                        0                                       0                                                  0                                                               0                                                                 0                                       0                               0                                                    0                                                0                             0                                                    5                                                0                           0                                                              0                                            0                                                        0                                                  0                                       0                                                            0
Sensor de velocidad ABS de rueda sucio o dañado                                                                            0                                                0                                                      0                                                         0                               0                               0                               0                               0                    0                    0                    0                    0                                                              0                                           0                                                         0                                                      0                                       0                                                    0                                                             0                                                                      0                                                 0                                                                  0                                                 0                                                                     0                                                                    0                                                                          0                                                  0                                               0                                       0                                                   0                                                              0                                                        0                                                  0                          0                                                0                                0                                0                                                                                        0                                                               0                                                                                      0                                           0                                                                         0                                                                            0                                                     0                                                           0                                                                               0                                                                       0                                                                              0                                                         0                                                                                    0                                  0                                                      0                                                 0                                          0                                                    0                                                                  0                                             0                                               0                                                    0                                                                     0                                                                    0                                                      0                                                   0                                        0                                       0                                                  0                                                               0                                                                 0                                       0                               0                                                    0                                                0                             0                                                    0                                                8                           0                                                              0                                            0                                                        0                                                  0                                       0                                                            0
Soplo de empaque de culata                                                                                                 0                                                0                                                      0                                                         0                               0                               0                               0                               0                    0                    0                    0                    0                                                              0                                           0                                                         0                                                      0                                       0                                                    0                                                             0                                                                      0                                                 0                                                                  0                                                 0                                                                     0                                                                    0                                                                          0                                                  0                                               0                                       0                                                   0                                                              0                                                        0                                                  0                          0                                                0                                0                                0                                                                                        0                                                               0                                                                                      0                                           0                                                                         0                                                                            0                                                     0                                                           0                                                                               0                                                                       0                                                                              0                                                         0                                                                                    0                                  0                                                      0                                                 0                                          0                                                    0                                                                  0                                             0                                               0                                                    0                                                                     0                                                                    0                                                      0                                                   0                                        0                                       0                                                  0                                                               0                                                                 0                                       0                               0                                                    0                                                0                             0                                                    0                                                0                          14                                                              0                                            0                                                        0                                                  0                                       0                                                            0
